[MASTER] 14:26:21.687 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /home/rickecr/Documentos/fulano-de-sal/.evosuite/evosuite-seeds/br.com.marmitaria.rest.controller.CardapioController.seed
[MASTER] 14:27:01.384 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:27:03.627 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:27:05.137 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class java.time.chrono.HijrahChronology canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:27:09.929 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Produto> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:27:13.895 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Produto> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:27:16.067 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Cardapio> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:27:25.157 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 7, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.String>> is not assignable to java.util.function.Function<? super java.lang.String, org.springframework.data.util.Lazy<? extends java.lang.String>>
[MASTER] 14:27:26.599 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 8, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<br.com.marmitaria.persistence.model.Produto>> is not assignable to java.util.function.Function<? super br.com.marmitaria.persistence.model.Produto, org.springframework.data.util.Lazy<? extends br.com.marmitaria.persistence.model.Produto>>
[MASTER] 14:27:26.823 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.DataTruncation due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:27:31.881 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 9, type java.util.function.Function<java.lang.Long, org.springframework.data.util.Lazy<java.lang.Long>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.lang.Long>>
[MASTER] 14:27:32.705 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 9, type java.util.function.Function<java.lang.Integer, org.springframework.data.util.Lazy<java.lang.Integer>> is not assignable to java.util.function.Function<? super java.lang.Integer, org.springframework.data.util.Lazy<? extends java.lang.Integer>>
[MASTER] 14:27:35.580 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.data.util.Lazy due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:27:54.387 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLSyntaxErrorException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:27:58.524 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 31, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.String>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.lang.String>>
[MASTER] 14:27:59.801 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLRecoverableException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:02.793 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 15, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.util.Optional<java.sql.SQLNonTransientException>>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.util.Optional<java.sql.SQLNonTransientException>>>
[MASTER] 14:28:04.502 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLInvalidAuthorizationSpecException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:04.994 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLInvalidAuthorizationSpecException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:05.023 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLInvalidAuthorizationSpecException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:38.176 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 31, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.Long>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.lang.Long>>
[MASTER] 14:28:38.516 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:41.554 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:49.611 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 27, type java.util.function.Function<java.lang.Object, java.util.LinkedList<java.time.chrono.ChronoLocalDate>> is not assignable to java.util.function.Function<? super java.lang.Long, ? extends java.util.LinkedList<br.com.marmitaria.persistence.model.Produto>>
[MASTER] 14:28:50.034 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:50.231 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.util.function.SingletonSupplier due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:28:59.104 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 7, type java.util.function.Function<br.com.marmitaria.persistence.model.Produto, org.springframework.data.util.Lazy<br.com.marmitaria.persistence.model.Produto>> is not assignable to java.util.function.Function<? super br.com.marmitaria.persistence.model.Produto, org.springframework.data.util.Lazy<? extends br.com.marmitaria.persistence.model.Produto>>
[MASTER] 14:29:01.106 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.data.util.Lazy due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.util.function.SingletonSupplier due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.util.function.SingletonSupplier due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:29:08.660 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.data.util.Lazy due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.util.function.SingletonSupplier due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:29:15.986 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for br.com.marmitaria.rest.reponse.ProdutoResponse due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:29:26.665 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 30, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.Integer>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.lang.Integer>>
[MASTER] 14:29:29.349 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 16, type java.util.function.Function<java.lang.Long, org.springframework.data.util.Lazy<java.time.chrono.ChronoLocalDate>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.time.chrono.ChronoLocalDate>>
[MASTER] 14:29:34.140 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 27, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<br.com.marmitaria.persistence.model.Produto>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends br.com.marmitaria.persistence.model.Produto>>
[MASTER] 14:29:35.717 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLInvalidAuthorizationSpecException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:29:38.579 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:29:48.074 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 13, type org.springframework.util.function.SingletonSupplier<java.util.Optional<java.sql.SQLNonTransientException>> is not assignable to java.util.function.Supplier<? extends java.util.Optional<br.com.marmitaria.rest.reponse.CardapioRespose>>
[MASTER] 14:29:54.875 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLRecoverableException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:29:55.634 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 15, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.Long>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.lang.Long>>
[MASTER] 14:29:56.050 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.data.util.Lazy due to org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 7, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.Integer>> is not assignable to java.util.function.Function<? super java.lang.Integer, org.springframework.data.util.Lazy<? extends java.lang.Integer>>
[MASTER] 14:30:01.152 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLDataException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:30:01.758 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLRecoverableException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:30:06.607 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:30:11.797 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 15, type java.util.function.Function<java.lang.Long, org.springframework.data.util.Lazy<java.util.Locale$LanguageRange>> is not assignable to java.util.function.Function<? super java.lang.Long, org.springframework.data.util.Lazy<? extends java.util.Locale$LanguageRange>>
